,client,product,quantity,price,date
31,Carl,Cookies,47,682.539358376097,2024-01-12 07:49:54.594594594
32,VolksWagen,Dirt,57,748.4395168292223,2024-01-12 16:36:02.162162162
33,Carl,Fake Promises,32,505.5454726107086,2024-01-13 01:22:09.729729729
34,Grandma's Cookies,Jet Engine,31,70.10540748769256,2024-01-13 10:08:17.297297297
35,Blockbuster,Cookies,34,6.709610232633612,2024-01-13 18:54:24.864864864
36,Grandma's Cookies,Cookies,14,339.4607999489445,2024-01-14 03:40:32.432432432
37,Grandma's Cookies,Fake Promises,14,323.08285897958353,2024-01-14 12:26:40.000000000
38,Blockbuster,Fake Promises,94,630.9713160224059,2024-01-14 21:12:47.567567567
39,Blockbuster,Dirt,16,351.2213976901035,2024-01-15 05:58:55.135135135
40,VolksWagen,Fake Promises,10,242.6111663605538,2024-01-15 14:45:02.702702702
41,The President of the United States,Cookies,2,29.275399059227823,2024-01-15 23:31:10.270270270
42,Carl,Cookies,85,300.60918427251704,2024-01-16 08:17:17.837837837
43,Carl,Dirt,82,262.7864851829598,2024-01-16 17:03:25.405405405
44,VolksWagen,Dirt,36,904.8358995540772,2024-01-17 01:49:32.972972973
45,Blockbuster,Cookies,5,617.5271076786536,2024-01-17 10:35:40.540540540
46,Blockbuster,Fake Promises,58,677.881136522037,2024-01-17 19:21:48.108108108
47,Grandma's Cookies,Enriched Uranium,66,367.12372228296533,2024-01-18 04:07:55.675675675
48,The President of the United States,Cookies,99,766.9436265461507,2024-01-18 12:54:03.243243243
49,The President of the United States,Fake Promises,35,418.12725048256704,2024-01-18 21:40:10.810810810
50,The President of the United States,Enriched Uranium,66,675.761309416036,2024-01-19 06:26:18.378378378
51,VolksWagen,Fake Promises,41,586.1838511168318,2024-01-19 15:12:25.945945946
52,Blockbuster,Jet Engine,47,721.9961223754349,2024-01-19 23:58:33.513513513
53,Blockbuster,Jet Engine,5,253.3728658288422,2024-01-20 08:44:41.081081081
54,Blockbuster,Cookies,4,274.304265966325,2024-01-20 17:30:48.648648648
55,Grandma's Cookies,Enriched Uranium,81,115.80019470977676,2024-01-21 02:16:56.216216216
56,The President of the United States,Fake Promises,79,758.4598710047699,2024-01-21 11:03:03.783783783
57,VolksWagen,Cookies,16,348.69981544044924,2024-01-21 19:49:11.351351351
58,VolksWagen,Enriched Uranium,20,48.52762710430403,2024-01-22 04:35:18.918918918
59,Carl,Fake Promises,81,145.35682256591286,2024-01-22 13:21:26.486486486
60,Blockbuster,Jet Engine,4,747.641044642589,2024-01-22 22:07:34.054054054
61,VolksWagen,Fake Promises,68,443.8299047902694,2024-01-23 06:53:41.621621621
62,Carl,Jet Engine,86,745.0602983210075,2024-01-23 15:39:49.189189189
63,Blockbuster,Enriched Uranium,33,559.7357004796904,2024-01-24 00:25:56.756756756
64,Grandma's Cookies,Cookies,76,211.33716255460988,2024-01-24 09:12:04.324324324
65,Blockbuster,Jet Engine,40,396.5284747193335,2024-01-24 17:58:11.891891891
66,Grandma's Cookies,Jet Engine,38,659.2519758007812,2024-01-25 02:44:19.459459459
67,Blockbuster,Enriched Uranium,87,357.13381248305797,2024-01-25 11:30:27.027027027
68,VolksWagen,Enriched Uranium,61,800.559535271294,2024-01-25 20:16:34.594594594
69,Blockbuster,Cookies,1,359.2173745571421,2024-01-26 05:02:42.162162162
70,Grandma's Cookies,Dirt,85,886.6965012874475,2024-01-26 13:48:49.729729729
71,VolksWagen,Dirt,92,376.70037863800263,2024-01-26 22:34:57.297297297
72,VolksWagen,Cookies,56,555.847179412843,2024-01-27 07:21:04.864864865
73,Grandma's Cookies,Dirt,37,875.8644670503113,2024-01-27 16:07:12.432432432
74,Blockbuster,Jet Engine,8,971.6221600348155,2024-01-28 00:53:20.000000000
75,Grandma's Cookies,Jet Engine,7,459.8365892888513,2024-01-28 09:39:27.567567567
76,The President of the United States,Jet Engine,1,300.9221060283187,2024-01-28 18:25:35.135135135
77,Grandma's Cookies,Enriched Uranium,66,161.90364082745324,2024-01-29 03:11:42.702702702
78,VolksWagen,Dirt,80,621.1562657361445,2024-01-29 11:57:50.270270270
79,Carl,Jet Engine,4,453.39815467636834,2024-01-29 20:43:57.837837837
80,VolksWagen,Dirt,19,666.8674456681025,2024-01-30 05:30:05.405405405
81,Blockbuster,Fake Promises,73,939.0230985508978,2024-01-30 14:16:12.972972973
82,Carl,Jet Engine,96,632.2500715613986,2024-01-30 23:02:20.540540540
83,VolksWagen,Jet Engine,76,693.9081785617935,2024-01-31 07:48:28.108108108
84,Carl,Jet Engine,5,790.6083275325382,2024-01-31 16:34:35.675675675
85,Grandma's Cookies,Dirt,8,602.4362215640351,2024-02-01 01:20:43.243243243
86,The President of the United States,Fake Promises,74,602.2948535310238,2024-02-01 10:06:50.810810810
87,VolksWagen,Cookies,66,274.80769127360526,2024-02-01 18:52:58.378378378
88,Carl,Cookies,60,244.49931100190747,2024-02-02 03:39:05.945945946
89,VolksWagen,Cookies,80,942.3022071176412,2024-02-02 12:25:13.513513513
90,The President of the United States,Enriched Uranium,91,982.1912440485747,2024-02-02 21:11:21.081081081
91,Blockbuster,Enriched Uranium,39,900.4127854873587,2024-02-03 05:57:28.648648648
92,Carl,Cookies,55,136.44033201428107,2024-02-03 14:43:36.216216216
93,Blockbuster,Fake Promises,32,255.40921277842997,2024-02-03 23:29:43.783783783
94,Blockbuster,Cookies,59,969.9305718253199,2024-02-04 08:15:51.351351351
95,The President of the United States,Jet Engine,27,187.83335799858224,2024-02-04 17:01:58.918918919
96,The President of the United States,Cookies,99,224.76719274117875,2024-02-05 01:48:06.486486486
97,The President of the United States,Dirt,97,612.7168047813205,2024-02-05 10:34:14.054054054
98,Grandma's Cookies,Dirt,34,60.020795956522434,2024-02-05 19:20:21.621621621
99,VolksWagen,Fake Promises,29,853.7731759845714,2024-02-06 04:06:29.189189189
100,VolksWagen,Jet Engine,52,959.1740300801222,2024-02-06 12:52:36.756756756
101,Grandma's Cookies,Enriched Uranium,74,905.8521427921137,2024-02-06 21:38:44.324324324
102,VolksWagen,Enriched Uranium,65,770.0786112043569,2024-02-07 06:24:51.891891892
103,Blockbuster,Cookies,86,881.3921892540797,2024-02-07 15:10:59.459459459
104,Grandma's Cookies,Fake Promises,51,61.033102487658475,2024-02-07 23:57:07.027027027
105,The President of the United States,Cookies,2,887.6153966440851,2024-02-08 08:43:14.594594594
106,The President of the United States,Cookies,83,238.40413655580483,2024-02-08 17:29:22.162162162
107,Blockbuster,Jet Engine,80,447.4393956331326,2024-02-09 02:15:29.729729729
108,VolksWagen,Enriched Uranium,22,243.17119768444573,2024-02-09 11:01:37.297297297
109,Grandma's Cookies,Cookies,23,587.8386872891381,2024-02-09 19:47:44.864864864
110,Blockbuster,Cookies,76,736.9414409164124,2024-02-10 04:33:52.432432432
111,Carl,Dirt,65,149.5857151779898,2024-02-10 13:20:00.000000000
112,The President of the United States,Fake Promises,70,672.076385522318,2024-02-10 22:06:07.567567567
113,Grandma's Cookies,Jet Engine,28,559.3861819041716,2024-02-11 06:52:15.135135135
114,Blockbuster,Dirt,97,961.9835216189583,2024-02-11 15:38:22.702702702
115,VolksWagen,Cookies,32,210.61545735315346,2024-02-12 00:24:30.270270270
116,Carl,Cookies,10,321.7059296309056,2024-02-12 09:10:37.837837837
117,Grandma's Cookies,Cookies,24,788.8609498649427,2024-02-12 17:56:45.405405405
118,Carl,Dirt,3,167.91080178018314,2024-02-13 02:42:52.972972973
119,VolksWagen,Enriched Uranium,47,924.1123078864243,2024-02-13 11:29:00.540540540
120,VolksWagen,Jet Engine,86,286.4674976099083,2024-02-13 20:15:08.108108108
121,The President of the United States,Jet Engine,37,55.68646652108844,2024-02-14 05:01:15.675675675
122,Blockbuster,Fake Promises,97,962.0094957509914,2024-02-14 13:47:23.243243243
123,Carl,Enriched Uranium,38,77.28778916486834,2024-02-14 22:33:30.810810810
124,The President of the United States,Dirt,12,603.442988143964,2024-02-15 07:19:38.378378378
125,Blockbuster,Fake Promises,16,911.3525806784563,2024-02-15 16:05:45.945945946
126,VolksWagen,Cookies,31,855.0651203389518,2024-02-16 00:51:53.513513513
127,The President of the United States,Enriched Uranium,42,712.851625940595,2024-02-16 09:38:01.081081081
128,Blockbuster,Cookies,60,735.2675178394368,2024-02-16 18:24:08.648648648
129,The President of the United States,Cookies,1,641.7965227071655,2024-02-17 03:10:16.216216216
130,Grandma's Cookies,Jet Engine,6,894.7525875503293,2024-02-17 11:56:23.783783783
131,VolksWagen,Cookies,60,24.022814854744446,2024-02-17 20:42:31.351351351
132,Carl,Jet Engine,20,393.47680724471843,2024-02-18 05:28:38.918918919
133,The President of the United States,Cookies,61,963.1750028637671,2024-02-18 14:14:46.486486486
134,The President of the United States,Dirt,20,379.1013527508609,2024-02-18 23:00:54.054054054
135,Carl,Enriched Uranium,19,462.51646991141394,2024-02-19 07:47:01.621621621
136,Blockbuster,Dirt,50,479.3295743115266,2024-02-19 16:33:09.189189189
137,VolksWagen,Dirt,99,734.6866631874733,2024-02-20 01:19:16.756756756
138,Blockbuster,Jet Engine,22,388.3015451234223,2024-02-20 10:05:24.324324324
139,The President of the United States,Jet Engine,19,981.8231551816301,2024-02-20 18:51:31.891891891
140,VolksWagen,Dirt,79,922.5592583489831,2024-02-21 03:37:39.459459459
141,Carl,Jet Engine,24,643.5516756478598,2024-02-21 12:23:47.027027027
142,Grandma's Cookies,Enriched Uranium,19,122.98441285188566,2024-02-21 21:09:54.594594594
143,Blockbuster,Fake Promises,2,714.3964035323868,2024-02-22 05:56:02.162162162
144,Blockbuster,Cookies,24,261.05815353518744,2024-02-22 14:42:09.729729730
145,Grandma's Cookies,Fake Promises,35,957.353401355086,2024-02-22 23:28:17.297297297
146,The President of the United States,Dirt,68,871.8993456233895,2024-02-23 08:14:24.864864865
147,Carl,Dirt,97,339.92280267165887,2024-02-23 17:00:32.432432432
148,VolksWagen,Enriched Uranium,94,142.6358812866243,2024-02-24 01:46:40.000000000
149,Blockbuster,Enriched Uranium,75,746.821901842727,2024-02-24 10:32:47.567567567
150,Grandma's Cookies,Jet Engine,76,121.01804401639559,2024-02-24 19:18:55.135135135
151,Blockbuster,Dirt,30,414.2110967819875,2024-02-25 04:05:02.702702703
152,The President of the United States,Jet Engine,61,594.1382181731153,2024-02-25 12:51:10.270270270
153,VolksWagen,Jet Engine,5,136.39216716982884,2024-02-25 21:37:17.837837838
154,The President of the United States,Enriched Uranium,81,603.560126823669,2024-02-26 06:23:25.405405405
155,The President of the United States,Cookies,4,379.8315915367776,2024-02-26 15:09:32.972972973
156,Grandma's Cookies,Dirt,95,106.01121819686088,2024-02-26 23:55:40.540540540
157,VolksWagen,Fake Promises,24,814.2714950894494,2024-02-27 08:41:48.108108108
158,VolksWagen,Fake Promises,82,287.45902358513877,2024-02-27 17:27:55.675675675
159,The President of the United States,Enriched Uranium,2,991.205021186313,2024-02-28 02:14:03.243243243
160,VolksWagen,Fake Promises,59,892.5582611590738,2024-02-28 11:00:10.810810811
161,Carl,Jet Engine,42,62.33179683816614,2024-02-28 19:46:18.378378378
162,VolksWagen,Dirt,66,54.38106642015883,2024-02-29 04:32:25.945945946
163,Blockbuster,Enriched Uranium,17,268.7621600846203,2024-02-29 13:18:33.513513513
164,The President of the United States,Jet Engine,93,132.01983572794097,2024-02-29 22:04:41.081081081
165,Grandma's Cookies,Cookies,50,750.9403714284765,2024-03-01 06:50:48.648648648
166,Blockbuster,Enriched Uranium,60,411.12550674906237,2024-03-01 15:36:56.216216216
167,The President of the United States,Fake Promises,53,115.77779990049952,2024-03-02 00:23:03.783783784
168,Blockbuster,Enriched Uranium,20,576.3252456533204,2024-03-02 09:09:11.351351351
169,Blockbuster,Enriched Uranium,1,586.3045247944817,2024-03-02 17:55:18.918918919
170,The President of the United States,Fake Promises,31,298.3850800537038,2024-03-03 02:41:26.486486486
171,Carl,Jet Engine,66,128.9029828223657,2024-03-03 11:27:34.054054054
172,The President of the United States,Dirt,68,363.1593366035283,2024-03-03 20:13:41.621621621
173,Grandma's Cookies,Enriched Uranium,63,264.2926717367974,2024-03-04 04:59:49.189189189
174,VolksWagen,Fake Promises,67,714.7148038220815,2024-03-04 13:45:56.756756757
175,Carl,Fake Promises,77,743.12212912821,2024-03-04 22:32:04.324324324
176,Grandma's Cookies,Enriched Uranium,63,997.8565397960707,2024-03-05 07:18:11.891891892
177,Grandma's Cookies,Fake Promises,69,118.98147490454913,2024-03-05 16:04:19.459459459
178,Blockbuster,Jet Engine,17,564.2463183047315,2024-03-06 00:50:27.027027027
179,Grandma's Cookies,Enriched Uranium,29,862.4135757642284,2024-03-06 09:36:34.594594594
180,Blockbuster,Fake Promises,59,626.1257241289899,2024-03-06 18:22:42.162162162
181,Blockbuster,Fake Promises,56,273.744879763375,2024-03-07 03:08:49.729729730
182,Blockbuster,Cookies,32,139.4917202215248,2024-03-07 11:54:57.297297297
183,Grandma's Cookies,Cookies,90,633.4889290286548,2024-03-07 20:41:04.864864865
184,The President of the United States,Dirt,94,526.7271411927657,2024-03-08 05:27:12.432432432
185,Blockbuster,Dirt,21,155.81798742731166,2024-03-08 14:13:20.000000000
186,The President of the United States,Enriched Uranium,74,725.476647338644,2024-03-08 22:59:27.567567567
187,The President of the United States,Enriched Uranium,66,437.37458756153205,2024-03-09 07:45:35.135135135
188,The President of the United States,Jet Engine,67,386.0227003945368,2024-03-09 16:31:42.702702702
189,Carl,Fake Promises,83,270.3730350743169,2024-03-10 01:17:50.270270270
190,Grandma's Cookies,Jet Engine,91,898.4071195346795,2024-03-10 10:03:57.837837838
191,VolksWagen,Cookies,87,762.9917751153052,2024-03-10 18:50:05.405405405
192,Blockbuster,Dirt,97,753.5978429846273,2024-03-11 03:36:12.972972973
193,Blockbuster,Enriched Uranium,56,425.20718146871684,2024-03-11 12:22:20.540540540
194,VolksWagen,Dirt,87,645.5790066386365,2024-03-11 21:08:28.108108108
195,Grandma's Cookies,Fake Promises,19,418.6869555622942,2024-03-12 05:54:35.675675675
196,The President of the United States,Cookies,94,160.50990857669,2024-03-12 14:40:43.243243243
197,Grandma's Cookies,Enriched Uranium,72,613.9817564738007,2024-03-12 23:26:50.810810811
198,The President of the United States,Fake Promises,51,238.55967618071995,2024-03-13 08:12:58.378378378
199,Blockbuster,Dirt,58,215.00616861108236,2024-03-13 16:59:05.945945946
200,Blockbuster,Fake Promises,31,824.0408273961986,2024-03-14 01:45:13.513513513
201,VolksWagen,Fake Promises,30,643.3325100559307,2024-03-14 10:31:21.081081081
202,Grandma's Cookies,Enriched Uranium,62,387.75434914820516,2024-03-14 19:17:28.648648648
203,Carl,Dirt,16,553.5002329548277,2024-03-15 04:03:36.216216216
204,The President of the United States,Jet Engine,29,816.3989662589172,2024-03-15 12:49:43.783783784
205,Carl,Dirt,37,660.9601613307198,2024-03-15 21:35:51.351351351
206,The President of the United States,Enriched Uranium,6,578.0248490363927,2024-03-16 06:21:58.918918919
207,Blockbuster,Dirt,55,689.9943651004634,2024-03-16 15:08:06.486486486
208,Blockbuster,Cookies,10,695.5490673434928,2024-03-16 23:54:14.054054054
209,Blockbuster,Cookies,3,445.70307475615465,2024-03-17 08:40:21.621621621
210,Carl,Fake Promises,66,839.7186783584373,2024-03-17 17:26:29.189189189
211,Grandma's Cookies,Fake Promises,2,867.7944891143325,2024-03-18 02:12:36.756756757
212,Carl,Cookies,10,290.01670767981847,2024-03-18 10:58:44.324324324
213,The President of the United States,Dirt,26,736.4239642265411,2024-03-18 19:44:51.891891892
214,VolksWagen,Enriched Uranium,69,920.5157984677112,2024-03-19 04:30:59.459459459
215,VolksWagen,Dirt,14,121.41838063705424,2024-03-19 13:17:07.027027027
216,Carl,Cookies,46,113.98961368938076,2024-03-19 22:03:14.594594594
217,Blockbuster,Dirt,67,439.91833854293316,2024-03-20 06:49:22.162162162
218,The President of the United States,Fake Promises,87,775.8570951556821,2024-03-20 15:35:29.729729729
219,Carl,Jet Engine,18,679.5372841537092,2024-03-21 00:21:37.297297297
220,VolksWagen,Enriched Uranium,57,823.4312573097371,2024-03-21 09:07:44.864864865
221,The President of the United States,Dirt,37,5.646150435519859,2024-03-21 17:53:52.432432432
222,The President of the United States,Enriched Uranium,49,754.506036834043,2024-03-22 02:40:00.000000000
223,Grandma's Cookies,Fake Promises,82,637.5903695607527,2024-03-22 11:26:07.567567567
224,Blockbuster,Dirt,88,697.3758346566108,2024-03-22 20:12:15.135135135
225,Carl,Dirt,37,394.95266421434195,2024-03-23 04:58:22.702702702
226,VolksWagen,Jet Engine,25,554.5828998392836,2024-03-23 13:44:30.270270270
227,Carl,Enriched Uranium,62,930.9641807889794,2024-03-23 22:30:37.837837838
228,The President of the United States,Jet Engine,10,16.130322047133827,2024-03-24 07:16:45.405405405
229,Blockbuster,Dirt,31,964.195199942516,2024-03-24 16:02:52.972972973
230,Grandma's Cookies,Cookies,47,211.61529353106113,2024-03-25 00:49:00.540540540
231,Carl,Cookies,73,773.6180782778541,2024-03-25 09:35:08.108108108
232,Carl,Enriched Uranium,6,685.0987119649711,2024-03-25 18:21:15.675675675
233,Blockbuster,Jet Engine,43,113.58311164223255,2024-03-26 03:07:23.243243243
234,The President of the United States,Enriched Uranium,70,447.31786230912627,2024-03-26 11:53:30.810810811
235,Carl,Dirt,88,241.01523074127974,2024-03-26 20:39:38.378378378
236,Blockbuster,Enriched Uranium,65,366.42330524459476,2024-03-27 05:25:45.945945946
237,VolksWagen,Jet Engine,0,431.41134816828907,2024-03-27 14:11:53.513513513
238,VolksWagen,Dirt,74,385.86661790328947,2024-03-27 22:58:01.081081081
239,Blockbuster,Dirt,73,521.8068343820934,2024-03-28 07:44:08.648648648
240,The President of the United States,Enriched Uranium,58,157.63843189803904,2024-03-28 16:30:16.216216216
241,The President of the United States,Fake Promises,49,841.4813448460603,2024-03-29 01:16:23.783783784
242,Carl,Cookies,49,557.3425488056098,2024-03-29 10:02:31.351351351
243,The President of the United States,Dirt,21,584.9794426864163,2024-03-29 18:48:38.918918919
244,The President of the United States,Fake Promises,19,16.507991083898442,2024-03-30 03:34:46.486486486
245,Grandma's Cookies,Cookies,73,808.7845888297192,2024-03-30 12:20:54.054054054
246,Carl,Cookies,83,41.383074293037005,2024-03-30 21:07:01.621621621
247,VolksWagen,Cookies,34,585.9204128005792,2024-03-31 05:53:09.189189189
248,VolksWagen,Dirt,24,736.6431770325779,2024-03-31 14:39:16.756756756
249,Blockbuster,Dirt,33,151.02135972073637,2024-03-31 23:25:24.324324324
250,Grandma's Cookies,Jet Engine,95,48.929722404813305,2024-04-01 08:11:31.891891892
251,VolksWagen,Fake Promises,67,877.5019119841974,2024-04-01 16:57:39.459459459
252,Grandma's Cookies,Cookies,98,309.09630463911384,2024-04-02 01:43:47.027027027
253,The President of the United States,Cookies,57,856.4189376734456,2024-04-02 10:29:54.594594594
254,The President of the United States,Cookies,98,202.79181379063104,2024-04-02 19:16:02.162162162
255,Blockbuster,Enriched Uranium,39,519.9124692459719,2024-04-03 04:02:09.729729729
256,Grandma's Cookies,Fake Promises,33,282.0694483124474,2024-04-03 12:48:17.297297297
257,Grandma's Cookies,Fake Promises,74,529.6628080661841,2024-04-03 21:34:24.864864865
258,Grandma's Cookies,Fake Promises,13,107.25416679819189,2024-04-04 06:20:32.432432432
259,Grandma's Cookies,Fake Promises,38,991.7037034321231,2024-04-04 15:06:40.000000000
260,VolksWagen,Dirt,27,11.606507696399927,2024-04-04 23:52:47.567567567
261,Blockbuster,Dirt,1,929.6226191081435,2024-04-05 08:38:55.135135135
262,Carl,Enriched Uranium,3,823.8038826786967,2024-04-05 17:25:02.702702702
263,Blockbuster,Enriched Uranium,81,701.5839878711969,2024-04-06 02:11:10.270270270
264,The President of the United States,Enriched Uranium,4,617.8346486976147,2024-04-06 10:57:17.837837838
265,Grandma's Cookies,Jet Engine,76,457.9814551600978,2024-04-06 19:43:25.405405405
266,VolksWagen,Enriched Uranium,32,157.74068123912954,2024-04-07 04:29:32.972972973
267,Grandma's Cookies,Cookies,56,735.0662804988707,2024-04-07 13:15:40.540540540
268,Carl,Dirt,35,526.5789994043364,2024-04-07 22:01:48.108108108
269,Grandma's Cookies,Jet Engine,17,680.473386767373,2024-04-08 06:47:55.675675675
270,VolksWagen,Enriched Uranium,22,804.0734267187967,2024-04-08 15:34:03.243243243
271,VolksWagen,Dirt,64,413.75719247802414,2024-04-09 00:20:10.810810810
272,Grandma's Cookies,Fake Promises,62,164.5181239567055,2024-04-09 09:06:18.378378378
273,Blockbuster,Jet Engine,57,434.2329699770568,2024-04-09 17:52:25.945945946
274,VolksWagen,Jet Engine,22,365.9995474129858,2024-04-10 02:38:33.513513513
275,Grandma's Cookies,Dirt,10,118.40812969808867,2024-04-10 11:24:41.081081081
276,VolksWagen,Fake Promises,74,800.2550271440055,2024-04-10 20:10:48.648648648
277,The President of the United States,Enriched Uranium,55,953.1085129647423,2024-04-11 04:56:56.216216216
278,The President of the United States,Fake Promises,48,778.6083438930297,2024-04-11 13:43:03.783783783
279,Blockbuster,Cookies,53,595.3840395745642,2024-04-11 22:29:11.351351351
280,Carl,Dirt,38,245.87004093994923,2024-04-12 07:15:18.918918919
281,Carl,Cookies,65,709.8904065694564,2024-04-12 16:01:26.486486486
282,Grandma's Cookies,Enriched Uranium,99,282.32911072231934,2024-04-13 00:47:34.054054054
283,Carl,Enriched Uranium,70,537.7238270739637,2024-04-13 09:33:41.621621621
284,Grandma's Cookies,Dirt,13,25.238155880346724,2024-04-13 18:19:49.189189189
285,Grandma's Cookies,Dirt,83,615.4980135996337,2024-04-14 03:05:56.756756756
286,VolksWagen,Cookies,89,250.8752499778385,2024-04-14 11:52:04.324324324
287,VolksWagen,Cookies,84,675.3345866437722,2024-04-14 20:38:11.891891892
288,Grandma's Cookies,Enriched Uranium,94,938.3851434052444,2024-04-15 05:24:19.459459460
289,Carl,Dirt,69,281.2288058134297,2024-04-15 14:10:27.027027026
290,Carl,Enriched Uranium,30,172.02514832846683,2024-04-15 22:56:34.594594594
291,Grandma's Cookies,Cookies,43,654.8638548349633,2024-04-16 07:42:42.162162162
292,Carl,Jet Engine,59,323.6475782792785,2024-04-16 16:28:49.729729730
293,Carl,Fake Promises,11,804.2887461930002,2024-04-17 01:14:57.297297296
294,The President of the United States,Cookies,67,793.7044744750998,2024-04-17 10:01:04.864864864
295,The President of the United States,Jet Engine,14,826.9320741882639,2024-04-17 18:47:12.432432432
296,VolksWagen,Jet Engine,35,80.26251709100052,2024-04-18 03:33:20.000000000
297,Blockbuster,Dirt,16,636.2697156705481,2024-04-18 12:19:27.567567568
298,Blockbuster,Jet Engine,25,929.0168487123076,2024-04-18 21:05:35.135135134
299,Blockbuster,Dirt,80,533.45299271466,2024-04-19 05:51:42.702702702
300,Carl,Fake Promises,88,189.04149393427326,2024-04-19 14:37:50.270270270
301,Blockbuster,Enriched Uranium,5,365.7629820211531,2024-04-19 23:23:57.837837838
302,Blockbuster,Fake Promises,3,478.58677355911783,2024-04-20 08:10:05.405405406
303,VolksWagen,Fake Promises,66,268.18098243532506,2024-04-20 16:56:12.972972972
304,The President of the United States,Dirt,23,992.394924463156,2024-04-21 01:42:20.540540540
305,The President of the United States,Fake Promises,73,815.3863669139882,2024-04-21 10:28:28.108108108
306,Blockbuster,Cookies,41,455.15980878205306,2024-04-21 19:14:35.675675676
307,Carl,Enriched Uranium,12,782.9297576667841,2024-04-22 04:00:43.243243242
308,Carl,Cookies,67,371.1709162951109,2024-04-22 12:46:50.810810810
309,Grandma's Cookies,Jet Engine,46,822.8778930134674,2024-04-22 21:32:58.378378378
310,Grandma's Cookies,Fake Promises,42,25.282857831684822,2024-04-23 06:19:05.945945946
311,Carl,Jet Engine,4,905.1591765052095,2024-04-23 15:05:13.513513514
312,Carl,Dirt,22,615.0158903080135,2024-04-23 23:51:21.081081080
313,Carl,Dirt,57,212.04177680237035,2024-04-24 08:37:28.648648648
314,VolksWagen,Cookies,32,250.0277289230586,2024-04-24 17:23:36.216216216
315,Blockbuster,Fake Promises,75,94.16715525748731,2024-04-25 02:09:43.783783784
316,Blockbuster,Fake Promises,45,768.9138806402342,2024-04-25 10:55:51.351351350
317,Grandma's Cookies,Jet Engine,1,234.41002058684356,2024-04-25 19:41:58.918918918
318,Blockbuster,Fake Promises,4,374.7037301919309,2024-04-26 04:28:06.486486486
319,VolksWagen,Jet Engine,58,502.61753114717,2024-04-26 13:14:14.054054054
320,Blockbuster,Dirt,5,219.62486638332834,2024-04-26 22:00:21.621621622
321,The President of the United States,Fake Promises,23,7.083774032835111,2024-04-27 06:46:29.189189188
322,Blockbuster,Dirt,77,810.3787656560072,2024-04-27 15:32:36.756756756
323,Blockbuster,Jet Engine,26,717.9178034896061,2024-04-28 00:18:44.324324324
324,Blockbuster,Fake Promises,76,873.7554499411679,2024-04-28 09:04:51.891891892
325,Blockbuster,Enriched Uranium,52,362.59370680927947,2024-04-28 17:50:59.459459460
326,Carl,Jet Engine,85,693.9221455174552,2024-04-29 02:37:07.027027026
327,Carl,Enriched Uranium,91,720.5533649975647,2024-04-29 11:23:14.594594594
